Names,County ,Addition,County 2,Tory_Pop
"Pickerd, George",Montgomery,Laborer,,
"Pemberton, Jeremiah",Albany,Cordwainer,,
"Powers, Richard",Albany,Farmer,,
"Parks, James",Montgomery,Farmer,,
"Purvis, John",Montgomery,Farmer,,
"Quackinbush, William",Montgomery,Yeoman,,
"Quackinbush, Goose",Albany,Farmer,,
"Quackenbols, Adrian",Albany,Yeoman,,
"Ruyter, John",Albany,Yeoman,,
"Rubblee, Thomas",Dutchess,Yeoman,,
"Rosa, Gilbert",Ulster,Farmer,,
"Reect, William",Westchester,N/A,,
"Rosa, Jacobus",Ulster,Yeoman,,
"Rubblee, John ",Dutchess,Yeoman,,
"Rogers, John",Albany,Farmer,,
"Remsen, Johannes",Kings,Cordwainer,,
"Rogers, William",Albany,Farmer,,
"Reemer, John",Albany,Yeoman,,
"Rapeljie, Abraham",Chemung,Innkeeper,,
"Righly, Andrew",Washington,Yeoman,,
"Ruysell, Jacob",Ulster,Yeoman,,
"Rowlans, Smith",Dutchess,Carpenter,,
"Ryckanan, John",Montgomery,Blacksmith,,
"Rosenkrantz, Nicholas",Montgomery,Laborer,,
"Rose, Jacob",Montgomery,Farmer,,
"Rice, John",Montgomery,Laborer,,
"Rogers, William",Albany,Farmer,,
"Robinson, Thomas",Albany,Yeoman,,
"Rider, Ebenezer",Dutchess,Yeoman,,
"Ruyter, Henry",Albany,Yeoman,,
"Rose, Daniel",Montgomery,Farmer,,
"Rose, William",Montgomery,Farmer,,
"Rols, Jacob",Montgomery,Laborer,,
"Row, John",Dutchess,Yeoman,,
"Reed, William",Westchester,N/A,,
"Stilwell, Samuel",Albany,N/A,,
"Springsted, John",Orange,Blacksmith,,
"Seamans, Adam",Westchester,Yeoman,,
"Sneedeker, Theodorus",Orange,Yeoman,,
"Smith, Joshua  L.",Orange,Gentleman,,
"Steenbrander, Jacob",Montgomery,Farmer,,
"Shaver, Nicholas",Albany,Yeoman,,
"Service, Daniel",Montgomery,Yeoman,,
"Shell, Johannis",Montgomery,Yeoman,,
"Shoemaker, Rudolph",Montgomery,Yeoman,,
"Smith, Robert",Albany,Farmer,,
"Sheets, William",Montgomery,Farmer,,
"Stuart, Simon",Montgomery,Farmer,,
"Stader, Philip",Albany,Yeoman,,
"Sprague, Thomas",Dutchess,Yeoman,,
"Sheets, Jacob",Montgomery,Laborer,,
"Stephenson, Stephen",Orange,Millwright,,
"Stoner, Peter",Albany,Yeoman,,
"Sheets, Jacob",Montgomery,Farmer,,
"Shaver, Adam",Montgomery,Laborer,,
"Streder, Henry",Montgomery,Laborer,,
"Skuraman, William",Dutchess,Yeoman,,
"Sniffen, Shubal",Westchester,Yeoman,,
"Story, Gaccheus",Dutchess,Yeoman,,
"Sneden, Dennis",Orange,Yeoman,,
"Stoner, John",Albany,Yeoman,,
"Salisbury, Jacob",Albany,Yeoman,,
"Sheets, Jacob",Montgomery,Laborer,,
"Servise, Christopher",Montgomery,Laborer,,
"Smith, Austin",Orange,Esquire,,
"Service, Christopher",Montgomery,Yeoman,,
"Seaman, Israel",Westchester,Yeoman,,
"Summers, Andrew",Albany,Farmer,,
"Striker, Samuel",Kings,Yeoman,,
"Shaver, Johannis",Montgomery,Farmer,,
"Sharpe, Guisbert",Albany,Yeoman,,
"Summer, Peter",Montgomery,Carpenter,,
"Stauring, Johannis",Montgomery,Farmer,,
"Shaver, George",Montgomery,Laborer,,
"Shaw, Moses",Dutchess,Cordwainer,,
"Sherwood, Samuel",Washington,Yeoman,,
"Sted, Benjamin",Ulster,Yeoman,,
"Shaver, Adam",Montgomery,Laborer,,
"Service, John",Montgomery,Laborer,,
"Simpson, Alexander",Albany,Yeoman,,
"Stiner, John",Albany,Yeoman,,
"Stidd, Benjamin",Ulster,Farmer,,
"Sprung, Nolkers",Kings,Yeoman,,
"Southerwyck, Daniel",Dutchess,Farmer,,
"Sheets, Jacob",Montgomery,Farmer,,
"Sommers, Peter",Albany,Farmer,,
"Smith, John",Montgomery,Yeoman,,
"Sheets, William",Montgomery,Laborer,,
"Shaver, Marcus",Albany,Yeoman,,
"Sigsby, Gerrit",Albany,Yeoman,,
"Service, John",Montgomery,Yeoman,,
"Spencer, Robert",Montgomery,Farmer,,
"Slingerland, Tunis Anthony",Albany,Yeoman,,
"Summer, Peter",Montgomery,Carpenter,,
"Shoemaker, Rudolph",Montgomery,Yeoman,,
"Smith, Benjamin",Albany,Farmer,,
"Steenbrander, Jacob",Montgomery,Blacksmith,,
"Smith, Henry",Albany,N/A,,
"Service, John",Montgomery,Farmer,,
"Summons, Thomas",Ulster,Farmer,,
"Smith, William",Albany,Laborer,,
"Spencer, Robert",Montgomery,Yeoman,,
"Service, John",Montgomery,Farmer,,
"Snyder, Conrad",Montgomery,Laborer,,
"Scramel, Hans",Albany,Yeoman,,
"Smith, Daniel",Albany,N/A,,
"Scramel, Fetta",Albany,Yeoman,,
"Sharpe, Guiesbert",Albany,Yeoman,,
"Schrembing, Theobald",Montgomery,Laborer,,
"Shoemaker, Rudolph",Montgomery,Yeoman,,
"Schemling, Matthew",Montgomery,Yeoman,,
"Stothoff, Johannes",Kings,Yeoman,,
"Stoffel, Hans",Albany,Laborer,,
"Stewart, James",Ulster,Practitioner of Physic,,
"Slingerland, Dirck",Albany,Yeoman,,
"Scut, Alexander",Albany,Yeoman,,
"Story, Gaccheus",Dutchess,Yeoman,,
"Summer, Peter",Montgomery,Farmer,,
"Simmer, William",Albany,Yeoman,,
"Sprague, Thomas",Dutchess,Yeoman,,
"Tobias, Christian",Dutchess,Physician,,
"Titus, Isaac",Westchester,N/A,,
"Townsend, Uriah",Dutchess,Yeoman,,
"Tollhamer, Andreas",Albany,N/A,,
"Tuttle, Stephen",Albany,Surveyor,,
"Talmage, John",Albany,Yeoman,,
"Thompson, Andrew",Montgomery,Merchant,,
"Thomson, Peter",Albany,Yeoman,,
"Timmer, William",Albany,Farmer,,
"Tipple, John",Albany,Cordwainer,,
"Tipple, John",Albany,Yeoman,,
"Towser, Gasper",Albany,Yeoman,,
"Terwilleger, Moses",Ulster,Yeoman,,
"Travis, William",Westchester,Yeoman,,
"Ten, Peter",Montgomery,Esquire,,
"Tuttle, Stephen",Albany,N/A,,
"Traver, Charles",Dutchess,Yeoman,,
"Thompson, Samuel",Montgomery,Yeoman,,
"Topp, John",Montgomery,Laborer,,
"Trumbull, Walter",Montgomery,Farmer,,
"Thompson, Archibald",Montgomery,Farmer,,
"Trumbull, Jr., Robert",Montgomery,Farmer,,
"Trumbull, Sr., Robert",Montgomery,Farmer,,
"Todd, John",Albany,Yeoman,,
"Travis, Jeremiah",Westchester,Yeoman,,
"Thompson, John",Montgomery,Yeoman,,
"Tobias, Joseph",Dutchess,Yeoman,,
"Tice, Gilbert",Montgomery,Innkeeper,,
"Thompson, John",Montgomery,Yeoman,,
"Turner, John",Orange,Yeoman,,
"Totten, William",Albany,Yeoman,,
"Thompson, Andrew",Montgomery,Yeoman,,
"Tubblee, John",Albany,Yeoman,,
"Upton, William",Albany,Yeoman,,
"Van Alstine, Jehoiakim",Albany,Yeoman,,
"Van Loon, John",Albany,Farmer,,
"Valck, Johannis Bartle",Ulster,Farmer,,
"Vander Pool, Isaac",Albany,Farmer,,
"Vedder, Cornelius A.",Albany,Yeoman,,
"Van Loon, Albertus",Albany,Cordwainer,,
"Van Dyne, Dawe",Queens ,Captain,,
"Vincent, John",Albany,Yeoman,,
"Van der barr, Rudolph",Albany,Yeoman,,
"Van Alstyne, Peter S.",Albany,Yeoman,,
"Van Petten, Arent",Albany,Yeoman,,
"Vrooman, Adam",Albany,Yeoman,,
"Van Vorst, John",Montgomery,Wheelwright,,
"Vrymyer, Nicholas",Albany,Yeoman,,
"Van Loon, Abraham",Albany,Farmer,,
"Van Alstyne, Martinus",Albany,Yeoman,,
"Van Loon, Jacob",Albany,Farmer,,
"Vrymyer, Philip",Albany,Yeoman,,
"Van Alstyne, Peter S.",Albany,Farmer,,
"Van Loon, Nicholas",Albany,Farmer,,
"Van Alstyne, Martinus",Ulster,Yeoman,,
"Van Kleeck, Simeon P.",Dutchess,Yeoman,,
"Van Valkenburgh, John P.",Albany,Cordwainer,,
"Vrooman, Jacob",Albany,Yeoman,,
"Vincent, Charles",Dutchess,Yeoman,,
"Van der Gee, Glendrick",Albany,Yeoman,,
"Van Wagenen, James",Ulster,Farmer,,
"Waggoner, Francis",Albany,Yeoman,,
"Welch, John",Albany,Cooper,,
"Wallisee, Anthony",Montgomery,Tailor,,
"Waggoner, Jacob",Montgomery,Yeoman,,
"Wing, David",Albany,Yeoman,,
"Walter, Martin",Montgomery,Farmer,,
"Weaver, Johannis",Montgomery,Farmer,,
"Went, Adam",Washington,Tailor,,
"Wood, Stephen",Ulster,Tailor,,
"Williams, Isaac",Westchester,Yeoman,,
"Ward, Edmund",Westchester,Yeoman,,
"Warmood, Matthew G.",Montgomery,Weaver,,
"Wemple, Andries",Montgomery,Esquire,,
"Watson, Joshua",Albany ,Merchant,,
"Waggoner, George",Montgomery,Farmer,,
"Welling, Peter",Ulster,Yeoman,,
"Walter, Philip",Montgomery,Blacksmith,,
"Wright, Jonathan",Westchester,Carpenter,,
"Wheaton, John",Albany,Carpenter,,
"Waltermeyer, John",Albany,Yeoman,,
"Worden, John",Dutchess,Cordwainer,,
"Wright, William",Ulster,Carpenter,,
"Wood, Stephen",Ulster,Tailor,,
"Willing, William",Ulster,Yeoman,,
"Whitney, Nathan",Westchester,Esquire,,
"Waite, Benjamin",Albany,Yeoman,,
"Weaver, Frederick",Montgomery,Farmer,,
"Wragg, Richard",Albany,Blacksmith,,
"Walter, Martin",Montgomery,Yeoman,,
"Wemple, Andrew",Montgomery,Esquire,,
"Woodward, David",Albany,Yeoman,,
"Weeks, John",Westchester,Yeoman,,
"Williams, Isaac",Westchester,Yeoman,,
"Williamson, Gerret",Kings,Yeoman,,
"Willcox, Hazard",Albany,Yeoman,,
"Willson, John",Albany,Yeoman,,
"Walradt, Jacob G.",Montgomery,Laborer,,
"Welling, William",Ulster,Yeoman,,
"Young, Adam",Montgomery,Yeoman,,
"Young, Henry",Albany,Yeoman,,
"Young, Frederick",Montgomery,Esquire,,
"Young, John",Montgomery,Farmer,,
"Young, John",Montgomery,Yeoman,,
"Yansen, Johannis",Albany,Yeoman,,
"Yards, Jasiah",Washington,Yeoman,,
"Yards, Gilbert",Washington,Yeoman,,
"Young, Daniel",Montgomery,Laborer,,
"Yards, Johnson",Washington,Yeoman,,
"Zimmer, William",Albany,Farmer,,
"Ziele, Adam",Montgomery,Yeoman,,
