Names,County ,Addition,County 2,Tory_Pop
"Clarewater, Fredric",Ulster,Yeoman,,
"Chisholm, John",Montgomery,Farmer,,
"Crantz, Michael",Albany,Weaver,,
"Cotter, James",Montgomery,Yeoman,,
"Cayselman, William",Montgomery,Yeoman,,
"Conklin, Thomas",Albany,Yeoman,,
"Calarwater, Jacob",Ulster,Yeoman,,
"Cerydelman, Joseph",Montgomery,Yeoman,,
"Chisholm, George",Montgomery,Farmer,,
"Crowder, James",Montgomery,Laborer,,
"Cammeron, James",Ulster,Farmer,,
"Cammeron, John",Montgomery,Farmer,,
"Criysie, John",Montgomery,Farmer,,
"Collinger, Michael",Montgomery,Farmer,,
"Criselaer, Adam",Albany,Farmer,,
"Cayselman, Wermart",Montgomery,Laborer,,
"Clariuater, Daniel",Ulster,Yeoman,,
"Crawford, Samuel",Albany,Yeoman,,
"Carringan, Patrick",Albany,Yeoman,,
"Conyne, John",Montgomery,Yeoman,,
"Cook, Matthis",Dutchess,Farmer,,
"Cock, Goar",Westchester,Yeoman,,
"Cummins, Patrick",Westchester,Yeoman,,
"Campbell, Duncan",Dutchess,Yeoman,,
"Clarkson, Hugh",Montgomery,Farmer,,
"Caselman, Werner",Montgomery,Farmer,,
"Cammeron, John",Montgomery,Farmer,,
"Clement, Lewis",Montgomery,Yeoman,,
"Collinger, Christian",Montgomery,Farmer,,
"Campbell, Alexander",Montgomery,Farmer,,
"Close, Benjamin",Westchester,Yeoman,,
"Campbell, Archibald",New York,Colonel in the Army,,
"Crawford, James",Westchester,Yeoman,,
"Countryman, Jacob",Montgomery,Laborer,,
"Clarke, Robert",Albany,Farmer,,
"Covell, Simeon",Albany,Yeoman,,
"Clement, Johannis L.",Montgomery,Yeoman,,
"Crawford, John",Westchester,Yeoman,,
"Caselman, Christian",Montgomery,Laborer,,
"Clarwater, Isaac",Ulster,Yeoman,,
"Countryman, Jacob",Montgomery,Yeoman,,
"Cowan, Moses",Albany,Yeoman,,
"Cole, Johannis",Albany,Farmer,,
